INFO  - 2016-10-29 20:32:56.067; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.068; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.068; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.103; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-10-29 20:32:56.109; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-10-29 20:32:56.111; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-10-29 20:32:56.113; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-10-29 20:32:56.118; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-10-29 20:32:56.186; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-10-29 20:32:56.187; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-10-29 20:32:56.206; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-10-29 20:32:56.207; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-10-29 20:32:56.229; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@63ded68a[collection1] main
INFO  - 2016-10-29 20:32:56.250; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/conf
INFO  - 2016-10-29 20:32:56.250; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/conf}
INFO  - 2016-10-29 20:32:56.280; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/conf
INFO  - 2016-10-29 20:32:56.291; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/conf
INFO  - 2016-10-29 20:32:56.292; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2016-10-29 20:32:56.293; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2016-10-29 20:32:56.294; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2016-10-29 20:32:56.332; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2016-10-29 20:32:56.357; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2016-10-29 20:32:56.368; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2016-10-29 20:32:56.373; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2016-10-29 20:32:56.433; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2016-10-29 20:32:56.437; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/conf/elevate.xml
INFO  - 2016-10-29 20:32:56.547; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2016-10-29 20:32:56.548; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@63ded68a[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2016-10-29 20:32:56.560; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2016-10-29 20:32:56.568; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/mihalis/tmp/solr/solr-4.10.0/example
INFO  - 2016-10-29 20:32:56.569; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
ERROR - 2016-10-29 20:32:56.619; org.apache.solr.common.SolrException; org.apache.solr.common.SolrException: undefined field text
	at org.apache.solr.schema.IndexSchema.getDynamicFieldType(IndexSchema.java:1267)
	at org.apache.solr.schema.IndexSchema$SolrQueryAnalyzer.getWrappedAnalyzer(IndexSchema.java:433)
	at org.apache.lucene.analysis.DelegatingAnalyzerWrapper$DelegatingReuseStrategy.getReusableComponents(DelegatingAnalyzerWrapper.java:74)
	at org.apache.lucene.analysis.Analyzer.tokenStream(Analyzer.java:175)
	at org.apache.lucene.util.QueryBuilder.createFieldQuery(QueryBuilder.java:207)
	at org.apache.solr.parser.SolrQueryParserBase.newFieldQuery(SolrQueryParserBase.java:374)
	at org.apache.solr.parser.SolrQueryParserBase.getFieldQuery(SolrQueryParserBase.java:742)
	at org.apache.solr.parser.SolrQueryParserBase.handleBareTokenQuery(SolrQueryParserBase.java:541)
	at org.apache.solr.parser.QueryParser.Term(QueryParser.java:299)
